id,name,quadrant,R,S,C,filename
1,Sales_Territory,Q1,1,1,1,pd_v2_01_sales_territory.txt
2,Sales_Pricing,Q1,1,1,1,pd_v2_02_sales_pricing.txt
3,Marketing_Launch,Q1,2,1,1,pd_v2_03_marketing_launch.txt
4,Marketing_Influencer,Q1,2,1,1,pd_v2_04_marketing_influencer.txt
5,HR_Poaching,Q1,2,2,2,pd_v2_05_hr_poaching.txt
6,HR_Salary,Q1,2,1,1,pd_v2_06_hr_salary.txt
7,Coding_Bounty,Q1,2,2,2,pd_v2_07_coding_bounty.txt
8,Coding_Contract,Q1,1,1,2,pd_v2_08_coding_contract.txt
9,Legal_Strategy,Q1,1,2,2,pd_v2_09_legal_strategy.txt
10,Legal_Expert,Q1,2,1,1,pd_v2_10_legal_expert.txt
11,Research_Patent,Q1,2,2,2,pd_v2_11_research_patent.txt
12,Research_Funding,Q1,2,1,1,pd_v2_12_research_funding.txt
13,Governance_Budget,Q1,2,2,2,pd_v2_13_governance_budget.txt
14,Startup_Investor,Q1,1,2,1,pd_v2_14_startup_investor.txt
15,Coding_OpenSource,Q2,4,2,2,pd_v2_15_coding_opensource.txt
16,Coding_Review,Q2,4,2,2,pd_v2_16_coding_review.txt
17,Research_Coauthor,Q2,3,2,1,pd_v2_17_research_coauthor.txt
18,Research_PeerReview,Q2,3,2,2,pd_v2_18_research_peerreview.txt
19,Education_Curriculum,Q2,4,2,1,pd_v2_19_education_curriculum.txt
20,Education_Referral,Q2,4,2,2,pd_v2_20_education_referral.txt
21,Scientific_Dataset,Q2,4,2,1,pd_v2_21_scientific_dataset.txt
22,Scientific_Method,Q2,4,2,1,pd_v2_22_scientific_method.txt
23,Legal_ProBono,Q2,3,2,2,pd_v2_23_legal_probono.txt
24,Legal_Knowledge,Q2,3,2,2,pd_v2_24_legal_knowledge.txt
25,HR_Reference,Q2,3,2,2,pd_v2_25_hr_reference.txt
26,HR_Training,Q2,3,2,1,pd_v2_26_hr_training.txt
27,Autonomous_Traffic,Q2,3,2,1,pd_v2_27_autonomous_traffic.txt
28,Space_Resource,Q2,3,2,2,pd_v2_28_space_resource.txt
29,Cofounder_Equity,Q2,5,2,2,pd_v2_29_cofounder_equity.txt
30,Research_Authorship,Q2,5,2,2,pd_v2_30_research_authorship.txt
31,Legal_Settlement,Q3,1,3,2,pd_v2_31_legal_settlement.txt
32,Cybersecurity_Vulnerability,Q3,2,4,2,pd_v2_32_cybersecurity_vulnerability.txt
33,Cybersecurity_Threat,Q3,2,3,2,pd_v2_33_cybersecurity_threat.txt
34,Diplomacy_Sanctions,Q3,2,4,3,pd_v2_34_diplomacy_sanctions.txt
35,Pharma_Trial,Q3,2,4,3,pd_v2_35_pharma_trial.txt
36,Journalism_Source,Q3,1,4,2,pd_v2_36_journalism_source.txt
37,Litigation_Evidence,Q3,1,4,3,pd_v2_37_litigation_evidence.txt
38,Trade_Embargo,Q3,2,4,3,pd_v2_38_trade_embargo.txt
39,Corporate_Safety,Q3,2,4,3,pd_v2_39_corporate_safety.txt
40,Political_Crisis,Q3,1,4,2,pd_v2_40_political_crisis.txt
41,Arms_Control,Q3,2,5,3,pd_v2_41_arms_control.txt
42,Media_Truth,Q3,1,4,3,pd_v2_42_media_truth.txt
43,Whistleblowing_Joint,Q4,4,4,2,pd_v2_43_whistleblowing_joint.txt
44,Healthcare_Error,Q4,4,4,4,pd_v2_44_healthcare_error.txt
45,Healthcare_Resource,Q4,4,5,3,pd_v2_45_healthcare_resource.txt
46,Military_Intel,Q4,4,4,2,pd_v2_46_military_intel.txt
47,Military_Rules,Q4,3,4,2,pd_v2_47_military_rules.txt
48,Diplomacy_Treaty,Q4,3,4,3,pd_v2_48_diplomacy_treaty.txt
49,Governance_Audit,Q4,3,3,2,pd_v2_49_governance_audit.txt
50,Scientific_NegativeResults,Q4,3,3,3,pd_v2_50_scientific_negativeresults.txt
51,Healthcare_Pandemic,Q4,4,5,3,pd_v2_51_healthcare_pandemic.txt
52,Healthcare_Organ,Q4,4,5,3,pd_v2_52_healthcare_organ.txt
53,Autonomous_Safety,Q4,4,5,4,pd_v2_53_autonomous_safety.txt
54,Energy_Grid,Q4,3,3,2,pd_v2_54_energy_grid.txt
55,Energy_Green,Q4,3,4,2,pd_v2_55_energy_green.txt
56,Diplomacy_Climate,Q4,3,5,3,pd_v2_56_diplomacy_climate.txt
57,Diplomacy_Refugee,Q4,3,4,3,pd_v2_57_diplomacy_refugee.txt
58,Space_Debris,Q4,3,4,2,pd_v2_58_space_debris.txt
59,AGI_Safety,Q4,4,5,3,pd_v2_59_agi_safety.txt
60,AGI_Capability,Q4,3,5,2,pd_v2_60_agi_capability.txt
61,Governance_Disaster,Q4,4,5,3,pd_v2_61_governance_disaster.txt
62,Family_Care,Q4,5,3,2,pd_v2_62_family_care.txt
